序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
11,拉卡拉-300,跨境支付-牌照,北京-海淀,跨境结算营收A股第一，持有国内跨境支付牌照,,,,,,,,ABCDEFGH,x22-转口贸易
12,海联金汇,跨境支付-牌照,山东-青岛,跨境结算营收A股第二，持有国内跨境支付双牌照（外币，人民币支付）,,,,,,,,ABCDEFGH,x22-转口贸易
13,新国都-300,跨境支付-牌照,深圳,持有欧洲批准支付牌照,,,,,,,,ABCDEFGH,x22-转口贸易
14,中油资本,跨境支付-平台,新疆-克拉玛依,昆仑银行第一大股东，对外油气结算银行,,,,,,,,ABCDEFGH,x22-转口贸易
15,中粮科技,跨境支付-平台,安徽-蚌埠,母公司中粮集团持股龙江银行20%股份，推动中俄跨境结算,,,,,,,,ABCDEFGH,x22-转口贸易
16,小商品城,跨境支付-平台,浙江-金华,全球支付平台：Yiwu Pay 义支付,,,,,,,,ABCDEFGH,x22-转口贸易
17,焦点科技,跨境支付-平台,江苏-南京,一站式跨境收结汇产品 Global Pay,,,,,,,,ABCDEFGH,x22-转口贸易
18,华峰超纤,跨境支付-支付系统,上海-金山区,签约银行数量A股第一，已与十四家银行弯沉刚签约,,,,,,,,ABCDEFGH,x22-转口贸易
19,信雅达,跨境支付-支付系统,浙江-杭州,签约银行数量A股第二，已与3家银行签约提供系统服务,,,,,,,,ABCDEFGH,x22-转口贸易
20,新晨科技-300,跨境支付-支付系统,北京-海淀,签约银行数量A股第三，为多家银行提供服务,,,,,,,,ABCDEFGH,x22-转口贸易
21,南天信息,跨境支付-支付系统,云南-昆明,签约银行数量A股第四，提供了部分银行与CIPS的接口,,,,,,,,ABCDEFGH,x22-转口贸易
22,吉大正元,跨境支付-支付系统,吉林-长春,产品可用于块茎支付结算,,,,,,,,ABCDEFGH,x22-转口贸易
23,中亦科技-300,跨境支付-支付系统,北京-丰台,参与CIPS系统IT基础架构建设以及维护,,,,,,,,ABCDEFGH,x22-转口贸易
24,青岛金王,跨境支付-支付系统,青岛,首批接入兴业银行CIPS标准收发器,,,,,,,,ABCDEFGH,x22-转口贸易
25,信安世纪-688,跨境支付-支付系统,北京-海淀,交付CIPS标准收发器,,,,,,,,ABCDEFGH,x22-转口贸易
26,京北方,跨境支付-支付系统,北京-海淀,公司参与了多家银行接入SWIFT系统，CIPS系统的研发,,,,,,,,ABCDEFGH,x22-转口贸易
27,高伟达-300,跨境支付-支付系统,北京-海淀,公司参与国内部分银行的跨境支付和结算系统的建设,,,,,,,,ABCDEFGH,x22-转口贸易
28,四方精创-300,跨境支付-支付系统,深圳,公司为“多边央行数字货币桥” 项目提供技术咨询及项目实施,,,,,,,,ABCDEFGH,x22-转口贸易
29,四川长虹,跨境支付-支付系统,四川-绵阳,公司长虹“财务云”支持人民币跨境支付CIPS功能,,,,,,,,ABCDEFGH,x22-转口贸易
30,东方通-300,跨境支付-支付系统,北京-丰台,公司中间件产品应用于人民币跨境支付CIPS系统,,,,,,,,ABCDEFGH,x22-转口贸易
