序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
22,新乳业,鲜奶,西南地区市占率第一,四川成都,,,,,,,,ABCDEFGH,
23,一鸣食品,鲜奶,华东地区营收占比A股第一，48.43%,浙江温州,,,,,,,,ABCDEFGH,
24,光明乳业,鲜奶,华东地区营收占比A股第二，30.6%,上海,,,,,,,,ABCDEFGH,
25,三元股份,鲜奶,北京地区市占率第一,北京大兴,,,,,,,,ABCDEFGH,
26,阳光乳业,鲜奶,江西本地第一大鲜奶上市公司,江西南昌,,,,,,,,ABCDEFGH,
27,庄园牧场,鲜奶,西北乳王,甘肃兰州,,,,,,,,ABCDEFGH,
28,西部牧业,鲜奶,新疆本地第二大鲜奶上市公司,新疆,,,,,,,,ABCDEFGH,
29,麦趣尔,鲜奶,新疆本地第三大鲜奶上市公司,新疆-昌吉,,,,,,,,ABCDEFGH,
30,伊利股份,常温奶,产品营收A股第一，1207亿,内蒙-呼和浩特,,,,,,,,ABCDEFGH,
31,皇氏集团,常温奶,产品营收A股第二，23.4亿,广西-南宁,,,,,,,,ABCDEFGH,
32,天润乳业,常温奶,产品营收A股第三，23.1亿,新疆-乌鲁木齐,,,,,,,,ABCDEFGH,
33,妙可蓝多,奶酪,市占率A股第一，27.7%,上海,,,,,,,,ABCDEFGH,
34,熊猫乳品,炼乳,炼乳行业唯一上市企业，国内市占率第二，18.3%,浙江温州,,,,,,,,ABCDEFGH,
35,李子园,乳饮料,营收占比98.57%，3.38亿,浙江-金华,,,,,,,,ABCDEFGH,
36,品渥食品,进口奶,进口乳品市场份额第一,上海 ,,,,,,,,ABCDEFGH,
37,麦迪科技,辅助生殖,辅助生殖医院数量第一，现有+拟收购共6家,苏州,,,,,,,,ABCDEFGH,
38,悦心健康,辅助生殖,辅助生殖医院一家，宜春市妇幼保健院,上海,悦心健康（002162.SZ）11月2日在投资者互动平台表示，公司在美国洛杉矶投资了日星人工生殖中心，在美国可提供合法的试管婴儿医疗服务；在国内，则是与江西省宜春市妇幼保健院共同合作辅助生殖项目，公司协助设备投入及引进人才，具体辅助生殖的资质及运作则属妇幼保健院。目前两家机构运营情况正常，暂无重大扩展计划,,,,,,,ABCDEFGH,
39,国际医学,辅助生殖,辅助生殖医院一家，西安国际医学辅助生殖医学中心,西安,,,,,,,,ABCDEFGH,
40,澳洋健康,辅助生殖,辅助生殖医院一家，澳洋医院,苏州,,,,,,,,ABCDEFGH,
41,金发拉比,辅助生殖,辅助生殖医院一家，汕头 金致妇产医院,广东汕头,,,,,,,,ABCDEFGH,
42,莱美药业-300,辅助生殖,公司产品：醋酸曲普瑞林注射液，用于不育治疗,重庆,,,,,,,,ABCDEFGH,
43,长春高新,儿童用药,儿童用药市占率A股第一，6.28%,吉林-长春,,,,,,,,ABCDEFGH,
44,葵花药业,儿童用药,儿童用药市占率A股第二，3.82%,黑龙江-哈尔滨,,,,,,,,ABCDEFGH,
45,济川药业,儿童用药,儿童用药市占率A股第三，2.61%,湖北-荆州,,,,,,,,ABCDEFGH,
46,江中药业,儿童用药,儿童用药市占率A股第四，1.94%,江西-南昌,,,,,,,,ABCDEFGH,
47,康恩贝,儿童用药,儿童用药市占率A股第五，1.93%,浙江-金华,康普乐-睡眠床垫？,,,,,,,ABCDEFGH,
48,葫芦娃,儿童用药,儿童药营收占比100%，15.15亿,海南-海口,,,,,,,,ABCDEFGH,
49,华特达因,儿童用药,儿童药营收占比87%，20.38亿,山东-临沂,,,,,,,,ABCDEFGH,
50,贵州三力,儿童用药,儿童药营收占比65.5%，7.87亿,贵州-安顺,,,,,,,,ABCDEFGH,
51,一品红-300,儿童用药,儿童药营收占比57.57%，13.13亿,广州,,,,,,,,ABCDEFGH,
52,康芝药业-300,儿童用药,"儿童药营收占比57.18%,3.06亿",海南-海口,,,,,,,,ABCDEFGH,
53,健民集团,儿童用药,儿童药营收占比27.65%，10.07亿,湖北-武汉,,,,,,,,ABCDEFGH,
54,亚宝药业,儿童用药,儿童药也营收占比22.43%，6.1亿,山西-运城,,,,,,,,ABCDEFGH,
