序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
75,贝仕达克-300,自研-其他,深圳,推出宠物ai摄影师机器人,,,,,,,,ABCDEFGH,c1-国内机器人
76,迦南科技-300,自研-其他,浙江-温州,,,,,,,,,ABCDEFGH,c1-国内机器人
77,瑞凌股份-300,自研-其他,深圳,公司拥有瑞凌机器人焊接系统集成产品,,,,,,,,ABCDEFGH,c1-国内机器人
78,云内动力,自研-其他,昆明,公司拟开展L4 级智能配送机器人业务,,,,,,,,ABCDEFGH,c1-国内机器人
79,新兴装备,自研-其他,北京,公司2024年计划完成第一代智能机器人整机试制,,,,,,,,ABCDEFGH,c1-国内机器人
80,上海电气,自研-其他,上海,公司拟收购上海发那科机器人有限公司50%股权,,,,,,,,ABCDEFGH,c1-国内机器人
81,山东矿机,自研-其他,潍坊,公司机器人产品包括焊接机器人，码垛机器人等。,,,,,,,,ABCDEFGH,c1-国内机器人
82,三丰智能,自研-其他,湖北-黄石,公司产品包括移动机器人等,,,,,,,,ABCDEFGH,c1-国内机器人
83,精工科技,自研-其他,浙江-绍兴,参公公司产品包括工业机器人集成装备、特种机器人装备,,,,,,,,ABCDEFGH,c1-国内机器人
84,奥拓电子,自研-其他,深圳,公司智能服务型机器人已通过中国机器人产品认证，已在多家银行推出了新一代分流系统机器人,,,,,,,,ABCDEFGH,c1-国内机器人
85,龙洲股份,自研-其他,福建-龙岩,旗下 畅丰专汽 生产的排水机器人具备水下工作能力和远程吸、排水功能,,,,,,,,ABCDEFGH,c1-国内机器人
86,亚威股份,自研-其他,江苏扬州,公司生产的线性和水平多关节机器人主要应用于汽车、新能源等领域,,,,,,,,ABCDEFGH,c1-国内机器人
87,锐新科技-300,自研-其他,天津,公司生产的机器人机械手臂及电机壳体可用于机器人领域,,,,,,,,ABCDEFGH,c1-国内机器人
88,天桥起重,自研-其他,湖南-株洲,公搜推进重载搬运天车机器人、AGV无人驾驶地面运输系统等新产品研发,,,,,,,,ABCDEFGH,c1-国内机器人
89,奋达科技,自研-其他,深圳,公司成立深圳威尔新动力公司，致力于人形机器人关节等核心部件的研发、制造,,,,,,,,ABCDEFGH,c1-国内机器人
90,天润工业,自研-其他,威海,公司铸件产品包含 转盘、底座、遥感 等工业机器人类铸件毛坯及成品,,,,,,,,ABCDEFGH,c1-国内机器人
91,长青科技,自研-其他,江苏-常州,公司英国子公司开发了站台服务机器人,,,,,,,,ABCDEFGH,c1-国内机器人
92,神思电子-300,自研-其他,济南,公司拥有自主产权的嵌入式操作系统，可应用于人形机器人领域,,,,,,,,ABCDEFGH,c1-国内机器人
93,中南股份,自研-其他,广东-韶关,子公司昆仑科技自研机器人算法平台和机器人管控平台。,,,,,,,,ABCDEFGH,c1-国内机器人
94,华丽家族,自研-其他,上海,公司持有南江机器人50%的股权，其为全产业链机器人公司,,,,,,,,ABCDEFGH,c1-国内机器人
95,申昊科技-300,自研-其他,杭州 ,公司产品包括智能机器人,,,,,,,,ABCDEFGH,c1-国内机器人
96,翔楼新材-300,自研-其他,苏州,公司再人形机器人零部件领域已经就减速器轴承、柔轮等核心零部件开展立项开发,,,,,,,,ABCDEFGH,c1-国内机器人
97,达意隆,自研-其他,广州,公司研制的机器人产品包括机器人理瓶机，机器人装箱机、机器人码垛机,,,,,,,,ABCDEFGH,c1-国内机器人
98,新美星-300,自研-其他,苏州,公司产品包含分拣机器人、机器人装箱机、机器人码垛机等机器人产品,,,,,,,,ABCDEFGH,c1-国内机器人
99,华昌达-300,自研-其他,湖北十堰,公司产品包括机器人焊装自动化装备,,,,,,,,ABCDEFGH,c1-国内机器人
100,星光农机,自研-其他,浙江-湖州,公司与合肥多加农业科技合作研发履带式无人植保机器人,,,,,,,,ABCDEFGH,c1-国内机器人
101,春光科技,自研-其他,浙江-金华,公司推出扫地机器人,,,,,,,,ABCDEFGH,c1-国内机器人
102,华懋科技,自研-其他,福建-厦门,公司布局智能机器人与上海通用机器人研究院建立战略合作,懋，mao,,,,,,,ABCDEFGH,c1-国内机器人
103,安乃达,自研-其他,上海,送死与坎德拉科技创作合作开发了用于多功能清扫机器人的电机,,,,,,,,ABCDEFGH,c1-国内机器人
104,宏英智能,自研-其他,上海,公司产品包括扫地机器人,,,,,,,,ABCDEFGH,c1-国内机器人
105,麦迪科技,自研-其他,苏州,公司将与优必选科技重点打造在医疗场景下的看护、护理及陪伴型人形服务机器人,,,,,,,,ABCDEFGH,c1-国内机器人
106,康尼机电,自研-其他,南京,子公司康尼智控业务包括电控技术研发、智能设备、机器人,,,,,,,,ABCDEFGH,c1-国内机器人
107,雷柏科技,自研-其他,深圳,子公司深圳雷柏机器人智能装备为多家大型3C电子制造企业提供机器人系统集成服务,,,,,,,,ABCDEFGH,c1-国内机器人
108,慈星股份-300,自研-其他,浙江-宁波,公司参股15% 的浙江钱塘机器人,,,,,,,,ABCDEFGH,c1-国内机器人
109,集智股份-300,自研-其他,杭州,公司机电业务包括智能机器人用电机,,,,,,,,ABCDEFGH,c1-国内机器人
110,奇精机械,自研-其他,宁波,公司送样工业机器人零部件产品,,,,,,,,ABCDEFGH,c1-国内机器人
111,冀凯股份,自研-其他,石家庄,公司产品包括防爆柴油机智能搬运机器人,,,,,,,,ABCDEFGH,c1-国内机器人
112,众业达,自研-其他,汕头,公司与ABB上海机器人公司开展合作,,,,,,,,ABCDEFGH,c1-国内机器人
113,南方路机,自研-其他,福建-泉州,公司智能机器人产品有建筑垃圾人工智能分拣机器人,,,,,,,,ABCDEFGH,c1-国内机器人
114,福石控股-300,自研-其他,北京-石景山,子公司清投智能产品包括智能枪弹柜、智能机器人,,,,,,,,ABCDEFGH,c1-国内机器人
115,利安科技-300,自研-其他,宁波,公司再安徽居巢经济开发区建设工业机器人应用项目,,,,,,,,ABCDEFGH,c1-国内机器人
116,三德科技-300,自研-其他,湖南-长沙,公司的智能装备业务主要包括无人化验系统、机器人制样系统,,,,,,,,ABCDEFGH,c1-国内机器人
117,锋龙股份,自研-其他,浙江-绍兴,公司提供割草智能机器人控制系统,,,,,,,,ABCDEFGH,c1-国内机器人
118,北自科技,自研-其他,北京,公司产品包括机器人工作站,,,,,,,,ABCDEFGH,c1-国内机器人
119,电光科技,自研-其他,浙江-温州,公司有煤矿巡检机器人、煤矿采样机器人运用,,,,,,,,ABCDEFGH,c1-国内机器人
120,君禾股份,自研-其他,浙江省-宁波,公司产品包括池底清洁机器人,,,,,,,,ABCDEFGH,c1-国内机器人
121,冀东装备,自研-其他,河北-唐山,公司研发的清仓机器人可实现水泥料仓智能、高效清理,,,,,,,,ABCDEFGH,c1-国内机器人
122,宝馨科技,自研-其他,江苏-泰州,子公司从事智能作业机器人等设备的设计研发、生产、销售,,,,,,,,ABCDEFGH,c1-国内机器人
123,金智科技,自研-其他,南京,子公司南京悠阔电气科技有限公司自主研制UK-R200变电站智能巡检机器人,,,,,,,,ABCDEFGH,c1-国内机器人
124,森源电气,自研-其他,河南-许昌,子公司森源中锋在工业智能转呗（工业机器人）有相应布局,,,,,,,,ABCDEFGH,c1-国内机器人
125,华菱线缆,自研-其他,湖南-湘潭,公司研发了机器人电缆，可用于工业机器人,,,,,,,,ABCDEFGH,c1-国内机器人
126,福达合金,自研-其他,浙江-温州,子公司浙江福达合金材料科技有智能机器人研发业务,,,,,,,,ABCDEFGH,c1-国内机器人
127,中科信息-300,自研-其他,四川-成都,智能麻醉机器人产品即将进入临床试验,,,,,,,,ABCDEFGH,c1-国内机器人
128,杭齿前进,自研-其他,浙江-杭州,杭齿集团正式启动省“尖兵”科技计划项目，该项目针对人形机器人旋转关节和直线关节,,,,,,,,ABCDEFGH,c1-国内机器人
129,丰茂股份-300,自研-其他,宁波,公司不分工业带产品有用于机器人,,,,,,,,ABCDEFGH,c1-国内机器人
130,协创数据-300,自研-其他,深圳,协创具身智能机器人有限公司登记备案,,,,,,,,ABCDEFGH,c1-国内机器人
131,万里扬,自研-其他,浙江-金华,公司重点开发谐波减速器和行星减速器产品，相关产品将配套应用于人形机器人,,,,,,,,ABCDEFGH,c1-国内机器人
132,方正电机,自研-其他,浙江-丽江,公司已有机器人关节产品送样客户,,,,,,,,ABCDEFGH,c1-国内机器人
133,辰安科技-300,自研-其他,北京,子公司科大立安有建筑外立面火灾扑救机器人平台,,,,,,,,ABCDEFGH,c1-国内机器人
134,岩山科技,自研-其他,上海,公司旗下闫鑫数智与某人型机器人公司合作，向其第三方客户交付了一台搭载大模型的机器人,,,,,,,,ABCDEFGH,c1-国内机器人
135,振江股份,自研-其他,江苏-无锡,子公司海普曼机器人有限公司致力于外骨骼机器人的智能控制算法及仿生学的设计,,,,,,,,ABCDEFGH,c1-国内机器人
136,正弦电气,自研-其他,深圳,公司已成功实现 上甄机器人、码垛机器人 应用,上甄机器人,本发明提供了一种上甑机器人，属于白酒酿造技术领域；包括底座、大臂、小臂和布料机构，所述底座的顶端安装有大臂旋转机构，所述大臂旋转机构上安装有俯仰调节机构，所述俯仰调节机构与大臂连接，用于调节大臂的俯仰角度；所述小臂上安装有检测组件，用于检测甑锅的状态信息；本发明通过检测组件实时检测甑锅的状态信息，并将检测到的状态信息反馈给控制箱，控制箱根据甑锅的状态信息控制大臂旋转机构、输送机构、布料机构、俯仰调节机构相互配合，使布料机构在甑锅内指定位置完成定量布料，保证了见气上甑的及时性和准确性，实现了上甑机器人的全自动上甑操作，极大地降低了人工劳动强度，提高了酿酒效率和产量。,,,,,,ABCDEFGH,c1-国内机器人
137,渤海汽车,自研-其他,滨州,子公司博海精机有机器人自动化集成业务，即对机器人进行电气和机械的专业化配置与调试，使机器人满足具体项目的使用要求,,,,,,,,ABCDEFGH,c1-国内机器人
138,悦心健康,自研-其他,上海,控股子公司涉及智能机器人的研发,,,,,,,,ABCDEFGH,c1-国内机器人
139,中鼎股份,自研-其他,安徽-宣城,购买安徽聚隆机器人减速器生产制造设备，并于2025奶奶3月公告拟10亿布局机器人谐波减速器、关节总成等部件，第一阶段可产15万颗谐波减速器,,,,,,,,ABCDEFGH,c1-国内机器人
140,瑞德智能-300,自研-其他,佛山,联合小米生态链企业推出超载机器人,,,,,,,,ABCDEFGH,c1-国内机器人
141,先锋电子,自研-其他,,间接参股东莞本末科技股权，后者电机直驱技术，以用于机器人,,,,,,,,ABCDEFGH,c1-国内机器人
142,联诚精密,自研-其他,,,,,,,,,,,
